threshold,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,pr_auc
0.1,0.547423953305646,0.7030106074884448,0.3233324858038817,0.9794608472400513,0.48617305976806424,0.8671703077728903,0.6333324558681545
0.11,0.5598832641149399,0.7105207377049105,0.3293853203077721,0.9781771501925546,0.4928211098176174,0.8671703077728903,0.6333324558681545
0.12,0.5694803008193962,0.7157370765692143,0.3340365682137834,0.975609756097561,0.49767533232925154,0.8671703077728903,0.6333324558681545
0.13,0.5787405993938713,0.721292692054604,0.3388378113005445,0.9745827984595635,0.5028480593456087,0.8671703077728903,0.6333324558681545
0.13999999999999999,0.5860365922101246,0.7250366470935828,0.3425314394282095,0.97201540436457,0.5065560610115065,0.8671703077728903,0.6333324558681545
0.14999999999999997,0.5936132001346952,0.7292375348480461,0.34657006603081436,0.9702182284980745,0.5107101831204811,0.8671703077728903,0.6333324558681545
0.15999999999999998,0.6009091929509485,0.7331664056952889,0.3505298382598996,0.9681643132220796,0.514706885961919,0.8671703077728903,0.6333324558681545
0.16999999999999998,0.6083735548321921,0.7368331803278567,0.354589189699085,0.9650834403080872,0.5186258278145696,0.8671703077728903,0.6333324558681545
0.17999999999999997,0.6142103490851948,0.7398283443590399,0.35788569792958685,0.9630295250320924,0.521841958820256,0.8671703077728903,0.6333324558681545
0.18999999999999995,0.6202155124031878,0.7429312437920759,0.3613631975284804,0.9609756097560975,0.5252227601206764,0.8671703077728903,0.6333324558681545
0.19999999999999996,0.6278482433494219,0.7470755854430249,0.36596119929453264,0.9589216944801027,0.5297496631444578,0.8671703077728903,0.6333324558681545
0.20999999999999996,0.6334044224941071,0.7500761062793835,0.36939078751857357,0.9573812580231066,0.5330950679056469,0.8671703077728903,0.6333324558681545
0.21999999999999995,0.6386799865304748,0.7530819839209177,0.372760932652857,0.9563543003851092,0.536434331797235,0.8671703077728903,0.6333324558681545
0.22999999999999995,0.6447412728701313,0.7557585056339116,0.37650877370930114,0.9530166880616174,0.5397702486549367,0.8671703077728903,0.6333324558681545
0.23999999999999994,0.650241328993153,0.7585381988613884,0.3800923550538738,0.9509627727856226,0.543108504398827,0.8671703077728903,0.6333324558681545
0.24999999999999992,0.6550679088562128,0.7607944925773212,0.38325899802925006,0.9486521181001284,0.545951536643026,0.8671703077728903,0.6333324558681545
0.2599999999999999,0.6615781793691773,0.7644055140241806,0.387785136129507,0.9471116816431322,0.5502684964200477,0.8671703077728903,0.6333324558681545
0.2699999999999999,0.6672466045571893,0.7672004847493785,0.39173940813285074,0.944801026957638,0.5538415230641884,0.8671703077728903,0.6333324558681545
0.2799999999999999,0.6725221685935571,0.7702063623909128,0.3956091261300043,0.9437740693196406,0.5575187684841132,0.8671703077728903,0.6333324558681545
0.2899999999999999,0.6772365024132899,0.7719285429849501,0.3989106753812636,0.9401797175866495,0.5601529636711281,0.8671703077728903,0.6333324558681545
0.29999999999999993,0.6816702211247053,0.7731013329593712,0.40198565912851625,0.935558408215661,0.5623456790123457,0.8671703077728903,0.6333324558681545
0.30999999999999994,0.685093725446178,0.773812626330938,0.40436914846188143,0.9314505776636713,0.5639232144244968,0.8671703077728903,0.6333324558681545
0.3199999999999999,0.6893029520709395,0.7748417691028882,0.4074032276266787,0.926829268292683,0.5660081530260269,0.8671703077728903,0.6333324558681545
0.32999999999999985,0.6940172858906724,0.7765639496969257,0.4110184021030975,0.9232349165596919,0.5688073394495413,0.8671703077728903,0.6333324558681545
0.33999999999999986,0.6984510046020878,0.7784764029044026,0.4145664739884393,0.9206675224646983,0.5717018732562774,0.8671703077728903,0.6333324558681545
0.34999999999999987,0.7022673700752049,0.7794390788802932,0.41754385964912283,0.9165596919127086,0.5737243873041382,0.8671703077728903,0.6333324558681545
0.3599999999999999,0.7051857672017061,0.7790875028132447,0.4196449704142012,0.910397946084724,0.5744835965978129,0.8671703077728903,0.6333324558681545
0.3699999999999999,0.7083286564148614,0.779619237181723,0.4221478115283425,0.9062901155327343,0.5759973892469609,0.8671703077728903,0.6333324558681545
0.3799999999999999,0.7123133909529689,0.7805971906553346,0.4254571878406201,0.9019255455712452,0.5781764318630678,0.8671703077728903,0.6333324558681545
0.3899999999999999,0.7163542485127399,0.7821658033543557,0.42900894279064067,0.8991014120667522,0.5808591806269696,0.8671703077728903,0.6333324558681545
0.3999999999999998,0.7210124593108093,0.7838520721477755,0.43318430203676106,0.8955070603337613,0.5839122792332804,0.8671703077728903,0.6333324558681545
0.4099999999999998,0.7261757773038501,0.7853067997219625,0.43787878787878787,0.8903722721437741,0.5870503597122302,0.8671703077728903,0.6333324558681545
0.4199999999999998,0.7310584801885733,0.786674426197193,0.44246311738293775,0.8854942233632863,0.5900769888793841,0.8671703077728903,0.6333324558681545
0.4299999999999998,0.7361656751599506,0.7882781577790261,0.44744392279603545,0.8808729139922978,0.5934446078007437,0.8671703077728903,0.6333324558681545
0.43999999999999984,0.7397014255247503,0.7886914431353003,0.45089226701916724,0.8757381258023107,0.5952879581151832,0.8671703077728903,0.6333324558681545
0.44999999999999984,0.7432932989112134,0.7885858928674001,0.4544234125385958,0.8690629011553274,0.5967912552891397,0.8671703077728903,0.6333324558681545
0.45999999999999985,0.7467729262543495,0.7886858927106606,0.45797575262225854,0.8631578947368421,0.598433606265575,0.8671703077728903,0.6333324558681545
0.46999999999999986,0.750982152879111,0.7884206248247628,0.46237156345459596,0.8549422336328626,0.6001622060016221,0.8671703077728903,0.6333324558681545
0.47999999999999976,0.7546301492872376,0.7886283600698762,0.46636581582287406,0.8490372272143774,0.6020389586746768,0.8671703077728903,0.6333324558681545
0.48999999999999977,0.7579414075653833,0.7875111296616998,0.4699798908359667,0.8400513478818998,0.6027447729575389,0.8671703077728903,0.6333324558681545
0.4999999999999998,0.7619822651251543,0.788247621223533,0.47474452554744523,0.8349165596919127,0.6053047929269427,0.8671703077728903,0.6333324558681545
0.5099999999999998,0.7649567852733191,0.7869149200116503,0.47822209008473315,0.8259306803594352,0.6057239691206929,0.8671703077728903,0.6333324558681545
0.5199999999999998,0.7688292737680996,0.7868040129385746,0.4830354438049076,0.8187419768934532,0.6076021720491569,0.8671703077728903,0.6333324558681545
0.5299999999999998,0.7741048378044674,0.7880531904016008,0.4899411946765707,0.812836970474968,0.6113739499855171,0.8671703077728903,0.6333324558681545
0.5399999999999998,0.7780895723425749,0.7867196962719125,0.4953226573648327,0.8020539152759949,0.6124289355028426,0.8671703077728903,0.6333324558681545
0.5499999999999998,0.7815130766640476,0.7851195420401793,0.5001622323166774,0.7915275994865212,0.6129833979520827,0.8671703077728903,0.6333324558681545
0.5599999999999997,0.785610057245482,0.7834880398951984,0.5062510418403067,0.7797175866495507,0.6139074186375582,0.8671703077728903,0.6333324558681545
0.5699999999999997,0.7897631608485801,0.7823547390714951,0.5127502995036796,0.769191270860077,0.6153214212363936,0.8671703077728903,0.6333324558681545
0.5799999999999997,0.7938040184083511,0.7817043620713484,0.5193825644623751,0.7602053915275995,0.6171321383909962,0.8671703077728903,0.6333324558681545
0.5899999999999997,0.7962734313615445,0.7790314177084546,0.5238095238095238,0.748395378690629,0.6162790697674418,0.8671703077728903,0.6333324558681545
0.5999999999999998,0.7997530587046806,0.7766350541401512,0.5302609661299278,0.7355584082156611,0.6162615616261562,0.8671703077728903,0.6333324558681545
0.6099999999999998,0.8022224716578741,0.7734073623524653,0.5352997145575642,0.7222079589216944,0.6148633879781421,0.8671703077728903,0.6333324558681545
0.6199999999999998,0.804523515546077,0.7698870193546626,0.5403446925186055,0.7083440308087291,0.6130429952227531,0.8671703077728903,0.6333324558681545
0.6299999999999997,0.8062633292176451,0.7654528109258911,0.544702320887992,0.6929396662387677,0.6099435028248588,0.8671703077728903,0.6333324558681545
0.6399999999999997,0.8088449882141655,0.7630366059724967,0.5507156191661481,0.6816431322207959,0.6092244148692061,0.8671703077728903,0.6333324558681545
0.6499999999999997,0.8112582781456954,0.7589408812470052,0.5571305841924399,0.665982028241335,0.6067126651853585,0.8671703077728903,0.6333324558681545
0.6599999999999997,0.8132787069255809,0.755425895054378,0.562887511071745,0.6526315789473685,0.6044465580787065,0.8671703077728903,0.6333324558681545
0.6699999999999997,0.8159164889437648,0.7523983965726773,0.5704144721776964,0.6395378690629011,0.6030016945049624,0.8671703077728903,0.6333324558681545
0.6799999999999997,0.8172634414636885,0.7484524687726379,0.5753715498938429,0.6261874197689346,0.599704942217851,0.8671703077728903,0.6333324558681545
0.6899999999999997,0.818834886070266,0.7428010300924293,0.5820014752889108,0.6077021822849807,0.5945742275810098,0.8671703077728903,0.6333324558681545
0.6999999999999996,0.8215849141317768,0.7398453552119639,0.5914198161389173,0.5946084724005135,0.5930098578927154,0.8671703077728903,0.6333324558681545
0.7099999999999996,0.8232686047816814,0.7349129454619148,0.599307774227902,0.5779204107830552,0.588419814403346,0.8671703077728903,0.6333324558681545
0.7199999999999996,0.8252890335615669,0.7293638853783836,0.6094624860022396,0.5589216944801026,0.5830989687960358,0.8671703077728903,0.6333324558681545
0.7299999999999996,0.8267482321248176,0.7245652021382596,0.6180596142606662,0.5430038510911425,0.5781057810578106,0.8671703077728903,0.6333324558681545
0.7399999999999997,0.8268043551464811,0.7172044816083176,0.6240417049984667,0.5224646983311938,0.5687534935718278,0.8671703077728903,0.6333324558681545
0.7499999999999997,0.8261870019081827,0.7084882404296434,0.6290426908150065,0.4993581514762516,0.5567482467439531,0.8671703077728903,0.6333324558681545
0.7599999999999997,0.8268604781681446,0.7027245024602119,0.6374745417515275,0.4821566110397946,0.5490425376406958,0.8671703077728903,0.6333324558681545
0.7699999999999997,0.8263553709731732,0.6940800848827731,0.6443243243243243,0.4590500641848524,0.5361319340329835,0.8671703077728903,0.6333324558681545
0.7799999999999997,0.8260747558648558,0.685394398699541,0.6533127889060092,0.43543003851091144,0.5225697119087968,0.8671703077728903,0.6333324558681545
0.7899999999999996,0.8245594342799416,0.674809158053136,0.6592132505175984,0.40872913992297816,0.50459587955626,0.8671703077728903,0.6333324558681545
0.7999999999999996,0.8236614659333259,0.6652661525424495,0.6683057666517658,0.38382541720154045,0.48760600130463144,0.8671703077728903,0.6333324558681545
0.8099999999999996,0.8228196206083735,0.6564987220654366,0.6779170684667309,0.36097560975609755,0.47110068688222484,0.8671703077728903,0.6333324558681545
0.8199999999999996,0.8215287911101133,0.6467043339504263,0.6878612716763006,0.33607188703465984,0.4515350120731287,0.8671703077728903,0.6333324558681545
0.8299999999999996,0.8212481760017959,0.6368166950134783,0.7090694935217904,0.30911424903722723,0.4305381727158949,0.8671703077728903,0.6333324558681545
0.8399999999999996,0.8204063306768437,0.6274945171116734,0.7281680892974393,0.2847240051347882,0.4093761535622001,0.8671703077728903,0.6333324558681545
0.8499999999999996,0.8179369177236503,0.6168535232795597,0.737417943107221,0.2595635430038511,0.3839726547664261,0.8671703077728903,0.6333324558681545
0.8599999999999995,0.8155797508137839,0.6060994372404174,0.7510305028854081,0.23388960205391526,0.3566953797963978,0.8671703077728903,0.6333324558681545
0.8699999999999996,0.8145134134021775,0.5981129386022537,0.7746741154562383,0.21360718870346598,0.33487623264238275,0.8671703077728903,0.6333324558681545
0.8799999999999996,0.8110899090807049,0.5863066967348475,0.785329018338727,0.18690629011553272,0.30194939858979675,0.8671703077728903,0.6333324558681545
0.8899999999999996,0.8080031428892132,0.5751782151918073,0.8022959183673469,0.16148908857509628,0.268860867706775,0.8671703077728903,0.6333324558681545
0.8999999999999996,0.804523515546077,0.5633360615237833,0.822884012539185,0.13478818998716302,0.2316346790205162,0.8671703077728903,0.6333324558681545
